ID,period,price,unitp,area,room,bath,terrace,aircon,parking,north,south,east,west,swimpool,garden,duplex,studio,topfloor,conyr,maxfloor,dcount,quality,newdev,dist_city_centre,dist_metro,long,lat
A7399795791660211441,201812,773000,4923.566879,157,2,2,1,1,0,0,0,1,0,0,0,1,0,1,1890,3,13,4,0,0.238125212,0.30366147,-3.701201452,40.41575829
A8013830810310673042,201809,933000,6220,150,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2003,5,30,1,0,0.640616605,0.205732701,-3.696377261,40.41771538
A3484475042158379938,201812,628000,5557.522124,113,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1955,6,41,3,0,0.268169638,0.230801944,-3.703448235,40.41419509
A10347032990745765424,201809,365000,6636.363636,55,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2004,4,15,3,0,0.364459092,0.256147485,-3.700329489,40.41464645
A12404818500486832160,201809,374000,6561.403509,57,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1925,6,23,4,0,0.681809755,0.223210848,-3.696991934,40.41331526
A1103716021765800025,201809,388000,6807.017544,57,2,2,0,1,0,0,1,0,0,0,0,0,0,0,1925,6,23,4,0,0.694066996,0.232586389,-3.696850135,40.41328008
A206354151553552135,201809,609000,4060,150,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1985,5,10,5,0,0.501740034,0.19504262,-3.698803988,40.41416019
A6612132218575482629,201803,417000,5957.142857,70,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2004,6,18,3,0,0.434041969,0.223777714,-3.699490828,40.41447135
A1934390236862818703,201803,2390000,7966.666667,300,4,5,0,1,0,0,0,0,0,0,0,0,0,0,1950,5,11,1,0,0.613003671,0.225859792,-3.696670341,40.41756046
A1530202151784184402,201812,338000,4760.56338,71,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1900,6,18,3,0,0.414428077,0.248218035,-3.699587353,40.41468698
A12406261209115381393,201809,634000,7547.619048,84,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1912,6,10,4,0,0.658256009,0.249438103,-3.696972917,40.41375682
A18227844406990340420,201809,2562000,8540,300,3,4,0,1,0,1,0,1,1,0,0,0,0,0,1950,5,11,1,0,0.683153677,0.24458432,-3.695758058,40.4171065
A4825263605007240799,201812,620000,4732.824427,131,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1900,6,13,4,0,0.222884842,0.302105989,-3.702911339,40.41470286
A12384741710864826653,201809,232000,5800,40,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1880,6,19,4,0,0.282159476,0.323242288,-3.700844225,40.4154091
A11760161890113577867,201809,407000,5087.5,80,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1900,5,15,4,0,0.983682789,0.30503572,-3.695079723,40.41075019
A1841369128873169907,201812,213000,4260,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1910,6,11,4,0,0.922544977,0.362968046,-3.695345302,40.41136121
A7973697447139242106,201809,198000,8250,24,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1984,6,30,2,0,0.884836412,0.472928833,-3.694049599,40.41372936
A1049704726750772690,201809,799000,6146.153846,130,2,2,0,1,0,0,1,1,0,0,0,0,0,0,1890,6,10,4,0,0.646973103,0.21220942,-3.697300592,40.41352962
A10884824381846785570,201812,266000,6045.454545,44,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1946,5,16,3,0,0.676156681,0.300729195,-3.696528312,40.41407482
A6645561006802927778,201812,529000,5943.820225,89,2,3,0,1,0,0,1,0,0,0,0,0,0,0,1921,7,14,6,0,1.008383479,0.282346197,-3.694702505,40.41074344
A14327656091517855845,201812,1633000,4389.784946,372,7,4,1,0,0,0,1,0,0,0,0,0,0,0,1952,7,12,6,0,0.774091355,0.307530922,-3.695858658,40.41314191
A11624493546087257612,201809,309000,4120,75,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1900,4,5,3,0,0.404093794,0.190068896,-3.700592808,40.41389711
A213771546541143109,201812,233000,6657.142857,35,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1900,4,9,4,0,0.700184164,0.245046582,-3.696721051,40.41333491
A3315491346516726162,201809,471000,3541.353383,133,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1900,4,25,4,0,0.662636161,0.087784635,-3.698360515,40.412307
A2335266497304976585,201812,241000,4016.666667,60,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1890,6,13,4,0,0.523146301,0.209953754,-3.69846276,40.4142163
A8309801825885894636,201812,953000,6188.311688,154,3,2,0,0,0,1,1,1,1,0,0,0,0,0,1952,5,22,2,0,0.570746515,0.165021204,-3.69731127,40.41798903
